model,exposure_type,name,weight
cp,industry,G56航空运输业,0.3875
cp,industry,D44电力、热力生产和供应业,0.17083333333333334
cp,industry,G55水上运输业,0.10416666666666667
cp,industry,C36汽车制造业,0.0875
cp,industry,C27医药制造业,0.08333333333333333
cp,industry,J66货币金融服务,0.08333333333333333
cp,industry,E48土木工程建筑业,0.04583333333333333
cp,industry,C31黑色金属冶炼和压延加工业,0.0375
cp,style,value_factor,0.7208333333333333
cp,style,quality_factor,0.2708333333333333
cp,style,momentum_factor,0.008333333333333333
