model,exposure_type,name,weight
pca,industry,D44电力、热力生产和供应业,0.2916666666666667
pca,industry,G56航空运输业,0.17083333333333334
pca,industry,C27医药制造业,0.15
pca,industry,C36汽车制造业,0.14166666666666666
pca,industry,G55水上运输业,0.09583333333333334
pca,industry,J66货币金融服务,0.06666666666666667
pca,industry,E48土木工程建筑业,0.0625
pca,industry,C31黑色金属冶炼和压延加工业,0.0125
pca,industry,K70房地产业,0.008333333333333333
pca,style,momentum_factor,0.31666666666666665
pca,style,volatility_factor,0.2916666666666667
pca,style,value_factor,0.23333333333333334
pca,style,quality_factor,0.15833333333333333
