model,exposure_type,name,weight
pca,industry,D44电力、热力生产和供应业,0.2875
pca,industry,G56航空运输业,0.2
pca,industry,D46水的生产和供应业,0.1625
pca,industry,C39计算机、通信和其他电子设备制造业,0.125
pca,industry,C27医药制造业,0.06666666666666667
pca,industry,J67资本市场服务,0.05
pca,industry,C37铁路、船舶、航空航天和其他运输设备制造业,0.05
pca,industry,C26化学原料和化学制品制造业,0.03333333333333333
pca,industry,K70房地产业,0.025
pca,style,quality_factor,0.4708333333333333
pca,style,momentum_factor,0.3458333333333333
pca,style,volatility_factor,0.15
pca,style,value_factor,0.03333333333333333
