model,exposure_type,name,weight
pca,industry,J66货币金融服务,0.48333333333333334
pca,industry,C39计算机、通信和其他电子设备制造业,0.1625
pca,industry,C36汽车制造业,0.14583333333333334
pca,industry,J67资本市场服务,0.07916666666666666
pca,industry,C32有色金属冶炼和压延加工业,0.0375
pca,industry,C31黑色金属冶炼和压延加工业,0.03333333333333333
pca,industry,C38电气机械和器材制造业,0.029166666666666667
pca,industry,I63电信、广播电视和卫星传输服务,0.0125
pca,industry,G55水上运输业,0.008333333333333333
pca,industry,B07石油和天然气开采业,0.008333333333333333
pca,style,volatility_factor,0.44583333333333336
pca,style,value_factor,0.2916666666666667
pca,style,momentum_factor,0.2625
